                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 2.5187,                 2.3709,                 1.9979,                0.36425,                0.23897,                0.21517,                0.08976,                 2.5313,                  2.477,                 2.1352,              0.0008874,              0.0008874,              0.0008874
                    122,                 2.5742,                  2.363,                 2.0539,                0.28153,                0.24087,                 0.2043,                0.08251,                 2.5348,                 2.4458,                 2.1415,             0.00088722,             0.00088722,             0.00088722
                    123,                  2.607,                 2.4234,                 2.0782,                0.30995,                0.25854,                0.21347,                0.09083,                 2.4987,                 2.4821,                 2.1139,             0.00088704,             0.00088704,             0.00088704
                    124,                 2.5247,                 2.3934,                 2.0452,                 0.3922,                0.09284,                0.05196,                0.01754,                 2.9426,                 3.8122,                 2.5454,             0.00088686,             0.00088686,             0.00088686
                    125,                 2.6161,                 2.3789,                 2.0675,                0.35326,                0.06827,                0.04084,                0.01223,                 3.2021,                 4.0851,                 2.7659,             0.00088668,             0.00088668,             0.00088668
                    126,                 2.6581,                 2.4255,                 2.0999,                0.33814,                0.25572,                0.24366,                0.11191,                  2.417,                 2.3925,                 2.1054,              0.0008865,              0.0008865,              0.0008865
                    127,                 2.5317,                 2.4797,                 2.0037,                0.32695,                0.28058,                0.25881,                0.11931,                  2.421,                 2.3551,                 2.0966,             0.00088632,             0.00088632,             0.00088632
                    128,                 2.4518,                 2.3978,                 2.0048,                0.25827,                 0.2698,                0.21874,                0.09131,                 2.5169,                 2.4403,                 2.0996,             0.00088614,             0.00088614,             0.00088614
                    129,                 2.5585,                 2.3333,                 1.9948,                0.21612,                0.30599,                0.21557,                0.09276,                 2.5188,                 2.4772,                 2.0955,             0.00088596,             0.00088596,             0.00088596
                    130,                  2.617,                 2.3189,                 1.9838,                0.28349,                0.22366,                0.18708,                0.07045,                 2.5178,                 2.7479,                 2.0808,             0.00088578,             0.00088578,             0.00088578
                    131,                 2.4267,                 2.3039,                 1.9883,                 0.5299,                0.06972,                0.12867,                0.03633,                 2.6907,                 3.4373,                 2.2681,              0.0008856,              0.0008856,              0.0008856
                    132,                 2.5388,                 2.3214,                 2.0168,                0.41129,                0.18174,                0.14878,                0.06695,                 2.6261,                 3.2743,                 2.1752,             0.00088542,             0.00088542,             0.00088542
                    133,                 2.5064,                 2.2564,                 1.9908,                0.35723,                0.24007,                0.20047,                0.09176,                 2.5242,                 2.8997,                 2.0949,             0.00088524,             0.00088524,             0.00088524
